EIIN,SIX_AVG,SEVEN_AVG,EIGHT_AVG,NINE_AVG,TEN_AVG,FEM_STD_RATIO,FEM_TCH_RATIO,SESscore_L,SESscore_LM,SESscore_UM,SESscore_U,INSTITUTE NAME,INSTITUTE_TYPE,DIVISION,DISTRICT,THANA,UNION_NAME,MAUZA_NAME,ADDRESS,MOBILE,STUDENT_TYPE,EDUCATION_LEVEL,AScore,TSR_SCORE,AS_SCORE,SES_SCORE
100002,11,12,13,14,15,0.555,0.125,0.404,0.744,0.494,0.567,NAYAVIZORA B. N. A HIGH SCHOOL,School,BARISAL,BARGUNA,TALTALI,BARABAGI,BARABAGI,NAYA VIZORA,1719938964,CO-EDUCATION JOINT,Secondary,1,0.478419551,0.123387271,0.482169971
100003,11.07,12.52,13.52,14.64,15.35,0.466,0.25,0.312,0.691,0.549,0.621,DAKSHIN KATHALIA TAZEM ALI SECONDARY SCHOOL,School,BARISAL,BARGUNA,AMTALI,HALDIA,KATHALIA,KATHALIA,1720343613,CO-EDUCATION JOINT,Secondary,1,0.667871782,0.575717324,0.520548797
100005,11,12,13,14,15,0.548,0.333,0.936,0.315,0.154,0.204,ALIR BANDAR A M HIGH SCHOOL,School,BARISAL,BARGUNA,TALTALI,KARAIBARIA,ALIR BANDAR,ALIR BANDAR,1710622148,CO-EDUCATION JOINT,Secondary,1,0.225940152,0.524107464,0.230254235
100007,10.76,12.16,13.65,14.76,15.74,0.5,0.182,0.712,0.555,0.319,0.388,BEHALA HIGH SCHOOL,School,BARISAL,BARGUNA,TALTALI,KARAIBARIA,BEHALA,BEHALA,1726164706,CO-EDUCATION JOINT,Secondary,1,0.782239041,0.541399428,0.359416853
100009,10.67,11.52,12.84,0,0,0.64,0.167,0.858,0.424,0.223,0.284,LOCHA JUUNIOR HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,AMTALI,AMTALI,LOCHA,1553487462,CO-EDUCATION JOINT,Junior Secondary,1,0.772586816,0.162527881,0.287275949
100011,10.99,11.99,12.87,13.96,15.01,0.367,0.294,0.109,0.507,0.708,0.766,AMTALI A.K. PILOT HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,CHOWRA,CHOWRA,437.A K SCHOOL ROAD.AMTALI,1746091667,CO-EDUCATION JOINT,Secondary,5,0.233079631,0.956766372,0.94633946
100012,10.99,11.97,12.98,14,14.92,0.485,0.111,0.393,0.738,0.5,0.573,CHOTONILGONG HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,AMTALI,CHALABHANGA,CHOTONILGONG,1718925197,CO-EDUCATION JOINT,Secondary,1,0.666673344,0.292793358,0.486460681
100014,10,11,12,13,14,0.508,0.125,0.878,0.401,0.208,0.266,SHAKHRIA HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,ATHARAGASHIA,SAKHARIA,SHAKHARIA,1712040882,C0-EDUCATION SEPARATE,Secondary,1,0.574684175,0.153471394,0.275103476
100015,11,12,13,14,15,0.464,0,0.872,0.407,0.212,0.271,GULSHA KHALIISHAQUE HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,GULISAKHALI,GULISAKHALI,GULISHAKHALI,1716080742,CO-EDUCATION JOINT,Secondary,1,0.655083214,0.948168128,0.278494538
100016,11,12,13,14,15,0.324,0.2,0.522,0.678,0.426,0.5,CHARAKGACHIA SECONDARY SCHOOL,School,BARISAL,BARGUNA,AMTALI,ARPANGASHIA,GHOPKHALI,CHARAKGACHIA,1734083408,CO-EDUCATION JOINT,Secondary,1,0.646293356,0.874628535,0.435466119
